date,count,package
2020-08-01,66,palmerpenguins
2020-08-02,62,palmerpenguins
2020-08-03,80,palmerpenguins
2020-08-04,97,palmerpenguins
2020-08-05,68,palmerpenguins
2020-08-06,83,palmerpenguins
2020-08-07,96,palmerpenguins
2020-08-08,60,palmerpenguins
2020-08-09,35,palmerpenguins
2020-08-10,65,palmerpenguins
2020-08-11,70,palmerpenguins
2020-08-12,85,palmerpenguins
2020-08-13,61,palmerpenguins
2020-08-14,44,palmerpenguins
2020-08-15,28,palmerpenguins
2020-08-16,22,palmerpenguins
2020-08-17,127,palmerpenguins
2020-08-18,74,palmerpenguins
2020-08-19,121,palmerpenguins
2020-08-20,154,palmerpenguins
2020-08-21,63,palmerpenguins
2020-08-22,43,palmerpenguins
2020-08-23,42,palmerpenguins
2020-08-24,73,palmerpenguins
2020-08-25,78,palmerpenguins
2020-08-26,80,palmerpenguins
2020-08-27,114,palmerpenguins
2020-08-28,87,palmerpenguins
2020-08-29,72,palmerpenguins
2020-08-30,44,palmerpenguins
2020-08-31,101,palmerpenguins
2020-09-01,135,palmerpenguins
2020-09-02,164,palmerpenguins
2020-09-03,296,palmerpenguins
2020-09-04,146,palmerpenguins
2020-09-05,70,palmerpenguins
2020-09-06,68,palmerpenguins
2020-09-07,81,palmerpenguins
2020-09-08,171,palmerpenguins
2020-09-09,234,palmerpenguins
2020-09-10,282,palmerpenguins
2020-09-11,197,palmerpenguins
2020-09-12,102,palmerpenguins
2020-09-13,153,palmerpenguins
2020-09-14,204,palmerpenguins
2020-09-15,749,palmerpenguins
2020-09-16,418,palmerpenguins
2020-09-17,374,palmerpenguins
2020-09-18,308,palmerpenguins
2020-09-19,251,palmerpenguins
2020-09-20,207,palmerpenguins
2020-09-21,267,palmerpenguins
2020-09-22,423,palmerpenguins
2020-09-23,794,palmerpenguins
2020-09-24,369,palmerpenguins
2020-09-25,422,palmerpenguins
2020-09-26,214,palmerpenguins
2020-09-27,331,palmerpenguins
2020-09-28,375,palmerpenguins
2020-09-29,324,palmerpenguins
2020-09-30,358,palmerpenguins
2020-10-01,325,palmerpenguins
2020-10-02,304,palmerpenguins
2020-10-03,205,palmerpenguins
2020-10-04,327,palmerpenguins
2020-10-05,352,palmerpenguins
2020-10-06,612,palmerpenguins
2020-10-07,518,palmerpenguins
2020-10-08,696,palmerpenguins
2020-10-09,420,palmerpenguins
2020-10-10,172,palmerpenguins
2020-10-11,185,palmerpenguins
2020-10-12,360,palmerpenguins
2020-10-13,534,palmerpenguins
2020-10-14,255,palmerpenguins
2020-10-15,339,palmerpenguins
2020-10-16,360,palmerpenguins
2020-10-17,135,palmerpenguins
2020-10-18,165,palmerpenguins
2020-10-19,359,palmerpenguins
2020-10-20,335,palmerpenguins
2020-10-21,329,palmerpenguins
2020-10-22,308,palmerpenguins
2020-10-23,240,palmerpenguins
2020-10-24,218,palmerpenguins
2020-10-25,189,palmerpenguins
2020-10-26,344,palmerpenguins
2020-10-27,282,palmerpenguins
2020-10-28,247,palmerpenguins
2020-10-29,306,palmerpenguins
2020-10-30,298,palmerpenguins
2020-10-31,188,palmerpenguins
2020-11-01,182,palmerpenguins
2020-11-02,307,palmerpenguins
2020-11-03,339,palmerpenguins
2020-11-04,263,palmerpenguins
2020-11-05,211,palmerpenguins
2020-11-06,254,palmerpenguins
2020-11-07,131,palmerpenguins
2020-11-08,145,palmerpenguins
2020-11-09,286,palmerpenguins
2020-11-10,414,palmerpenguins
2020-11-11,499,palmerpenguins
2020-11-12,466,palmerpenguins
2020-11-13,343,palmerpenguins
2020-11-14,189,palmerpenguins
2020-11-15,258,palmerpenguins
2020-11-16,384,palmerpenguins
2020-11-17,429,palmerpenguins
2020-11-18,281,palmerpenguins
2020-11-19,286,palmerpenguins
2020-11-20,292,palmerpenguins
2020-11-21,126,palmerpenguins
2020-11-22,150,palmerpenguins
2020-11-23,297,palmerpenguins
2020-11-24,373,palmerpenguins
2020-11-25,186,palmerpenguins
2020-11-26,205,palmerpenguins
2020-11-27,153,palmerpenguins
2020-11-28,120,palmerpenguins
2020-11-29,143,palmerpenguins
2020-11-30,338,palmerpenguins
2020-12-01,453,palmerpenguins
2020-12-02,384,palmerpenguins
2020-12-03,372,palmerpenguins
2020-12-04,353,palmerpenguins
2020-12-05,126,palmerpenguins
2020-12-06,151,palmerpenguins
2020-12-07,274,palmerpenguins
2020-12-08,358,palmerpenguins
2020-12-09,428,palmerpenguins
2020-12-10,355,palmerpenguins
2020-12-11,331,palmerpenguins
2020-12-12,144,palmerpenguins
2020-12-13,214,palmerpenguins
2020-12-14,276,palmerpenguins
2020-12-15,389,palmerpenguins
2020-12-16,279,palmerpenguins
2020-12-17,287,palmerpenguins
2020-12-18,167,palmerpenguins
2020-12-19,95,palmerpenguins
2020-12-20,96,palmerpenguins
2020-12-21,229,palmerpenguins
2020-12-22,213,palmerpenguins
2020-12-23,101,palmerpenguins
2020-12-24,136,palmerpenguins
2020-12-25,57,palmerpenguins
2020-12-26,152,palmerpenguins
2020-12-27,161,palmerpenguins
2020-12-28,109,palmerpenguins
2020-12-29,116,palmerpenguins
2020-12-30,132,palmerpenguins
2020-12-31,110,palmerpenguins
2021-01-01,55,palmerpenguins
2021-01-02,82,palmerpenguins
2021-01-03,159,palmerpenguins
2021-01-04,203,palmerpenguins
